Show,,Status,Renewal,TVSeason,Network,Season,Episode,AirDay,AirTime,AirDayInitial,AirTimeInitial,AirDayTimeInitial,ChangeAirDayTime,Debut on Different Day,Premier Date,Finale Date,DaysfromTVSeasonPremiere,SeasonDays,18to49_Avg,18to49_Premiere,18to49_Max,18to49_Min,18to49_YrtoYrChange,18to49_LossGainPremiere,18to49_%DropPremiere,Total_Avg,Total_Premiere,Total_Max,Total_Min,Total_YrtoYrChange,Total_LossGainPremiere,Total_%DropPremiere,18to49_1,18to49_2,18to49_3,18to49_4,18to49_5,18to49_6,18to49_7,18to49_8,18to49_9,18to49_10,18to49_11,18to49_12,18to49_13,18to49_14,18to49_15,18to49_16,18to49_17,18to49_18,18to49_19,18to49_20,18to49_21,18to49_22,18to49_23,18to49_24,18to49_25,Average per Episode,Loss/Gain,%Drop,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Average per Episode,Loss/Gain,%Drop
The 100,The 1002015,Renewed,1,2015,CW,3,16,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,1/21/16,5/19/16,122,119,0.48,0.7,0.7,0.4,-0.08,-0.22,0.3143,2.78,1.88,1.88,1.08,-0.1392,0.9,-0.4787,0.7,0.6,0.6,0.5,0.5,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,,,,,,,,,,0.48,-0.2,31.25,1.88,1.63,1.57,1.32,1.36,1.41,1.39,1.2,1.23,1.13,1.08,1.15,1.27,1.13,1.17,1.29,,,,,,,,,,1.33,-0.59,29.49
The 100,The 1002016,Renewed,1,2016,CW,4,13,Wed,9:00 PM,Wed,9:00 PM,Wed 9:00 PM,0,No,2/1/17,5/24/17,166,112,0.34,0.4,0.4,0.3,-0.2965,-0.06,0.15,1.75,1.21,1.21,0.81,-0.2799,0.54,-0.4463,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,,,0.34,-0.1,15.38,1.21,1.03,1.05,1,1.02,0.98,0.9,0.97,0.81,0.85,0.86,0.83,0.91,,,,,,,,,,,,,0.96,-0.3,21.04
The 100,The 1002017,Renewed,1,2017,CW,5,13,Tue,9:00 PM/8:00 PM,Tue,9:00 PM,Tue 9:00 PM,1,No,4/24/18,8/7/18,226,105,0.3,0.4,0.4,0.2,-0.11,-0.1,0.25,2.36,1.43,1.43,0.73,0.0072,0.93,-0.6503,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,,,,,,,,,,,,,0.3,-0.1,25,1.43,1.02,1.08,1.07,0.94,0.92,0.83,0.73,0.89,0.86,0.85,0.88,0.99,,,,,,,,,,,,,0.96,-0.44,32.81
The 100,The 1002018,Renewed/Ending,1,2018,CW,6,13,Tue,9:00 PM,Tue,9:00 PM,Tue 9:00 PM,0,No,4/30/19,8/6/19,233,98,0.22,0.3,0.3,0.2,-0.2667,-0.08,0.2667,2.13,0.86,0.86,0.54,-0.2842,1.27,-1.4767,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,0.23,-0.1,25,0.86,0.81,0.82,0.73,0.73,0.64,0.72,0.63,0.7,0.57,0.54,0.61,0.59,,,,,,,,,,,,,0.7,-0.25,18.99
The Assets,The Assets2013,Cancelled,0,2013,ABC,1,4,Thu/Sat,10:00 PM/9:00 PM,Thu,10:00 PM,Thu 10:00 PM,1,No,1/2/14,6/28/14,108,177,0.45,0.7,0.7,0.2,0,-0.25,0.3571,2.46,3.77,3.77,1.25,0,-1.31,0.3475,0.7,0.6,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,0.65,-0.1,7.14,3.77,2.92,1.25,1.56,,,,,,,,,,,,,,,,,,,,,,3.35,-0.85,11.27
The Big Bang Theory,The Big Bang Theory2013,Renewed,1,2013,CBS,7,24,Thu,8:00 PM,Thu,8:00 PM,Thu 8:00 PM,0,No,9/26/13,5/15/14,10,231,5.07,5.5,6.1,3.8,-0.0364,-0.43,0.0782,16.23,18.99,20.44,14.42,0.0504,-2.76,0.1453,5.5,6.1,5.2,5.1,5.2,5.2,4.9,5.2,5.3,4.8,5.1,5.4,5.7,5.2,5.2,5,5.3,4.9,4.9,4.7,4.5,4.5,3.8,4.9,,5.07,-0.6,7.88,18.99,20.44,18.22,17.64,17.8,16.98,16.89,18.3,18.94,15.63,17.68,19.2,20.35,19.05,17.53,17.73,18.09,17.34,17.73,16.29,16.44,16.07,14.42,16.73,,17.69,-2.26,6.86
The Big Bang Theory,The Big Bang Theory2014,Renewed,1,2014,CBS,8,24,Mon/Thu,8:00 PM,Mon,8:00 PM,Mon 8:00 PM,1,No,9/22/14,5/7/15,6,227,4.31,5.4,5.4,3.4,-0.1466,-1.09,0.2019,15.26,18.08,18.3,13.85,-0.0854,-2.82,0.156,5.4,5.4,4.8,4.5,4.5,4.6,4.1,4.3,4.5,4.1,3.9,4.6,4.5,4.6,4.5,4.5,4.8,4.4,3.4,3.5,3.9,3.6,3.4,3.7,,4.31,-1.7,20.14,18.08,18.3,16.44,15.75,15.32,16.02,16.25,16.56,16.9,14.61,15.49,18.11,17.25,17.09,17.49,16.67,18.17,16.13,13.89,14.78,14.82,14.63,13.85,14.64,,16.14,-3.44,10.76
The Big Bang Theory,The Big Bang Theory2015,Renewed,1,2015,CBS,9,24,Mon/Thu,8:00 PM,Mon,8:00 PM,Mon 8:00 PM,1,No,9/21/15,5/12/16,0,234,3.73,4.7,4.7,3,-0.1369,-0.97,0.2064,14.41,18.2,18.2,13.22,-0.0575,-3.79,0.2082,4.7,3.8,3.9,3.9,3.9,4.4,3.7,3.7,3.8,3.8,4.1,3.8,3.8,3.8,3.8,3.8,3.8,3.5,3.5,3.1,3.2,3.4,3,3.4,,3.73,-1.3,20.57,18.2,15.23,15.4,14.96,14.68,16.32,14.81,14.92,15.19,15.27,17.23,15.85,15.75,15.29,16.25,15.24,15.94,14.68,14.24,13.5,14.16,14.13,13.22,14.73,,15.22,-3.47,16.39
The Big Bang Theory,The Big Bang Theory2016,Renewed,1,2016,CBS,10,23,Mon/Thu,8:00 PM,Mon,8:00 PM,Mon 8:00 PM,1,No,9/19/16,5/11/17,31,234,3.11,3.8,3.8,2.5,-0.1691,-0.69,0.1816,13.23,15.82,16.8,11.89,-0.0779,-2.59,0.1637,3.8,3.6,3.5,3.4,3.5,3.4,3.1,3.4,3.1,3.1,3.4,3.6,3.4,3.1,3,2.8,2.8,2.6,2.7,2.5,2.6,2.5,2.7,,,3.11,-1.1,18.08,15.82,14.24,14.32,14.41,14.2,14.31,14.18,14.47,14.34,14.54,15.96,16.8,15.14,14.66,14.15,13.51,13.38,12.78,12.59,11.89,12.52,12.39,12.99,,,14.07,-2.83,11.07
The Big Bang Theory,The Big Bang Theory2017,Renewed/Ending,1,2017,CBS,11,24,Mon/Thu,8:00 PM,Mon,8:00 PM,Mon 8:00 PM,1,No,9/25/17,5/10/18,15,227,2.75,4.1,4.1,2,-0.1156,-1.35,0.3293,13.68,17.65,17.65,11.79,0.0009,-3.97,0.2249,4.1,3.2,2.9,2.8,2.8,2.7,2.8,2.6,2.5,2.8,2.6,3.1,3.1,2.9,2.9,2.5,2.6,2.5,2.4,2.4,2.4,2,2.4,2.9,,2.75,-1.2,33.03,17.65,14.01,13.13,13.07,13.2,14.14,13.8,13.44,13.84,14.41,13.74,16.16,15.93,14.92,14.69,13.75,13.88,13.26,13,12.77,12.91,11.79,12.93,15.51,,14,-2.14,20.7
The Big Bang Theory,The Big Bang Theory2018,Ended,0,2018,CBS,12,24,Thu,8:00 PM,Thu,8:00 PM,Thu 8:00 PM,0,Yes,9/24/18,5/16/19,15,234,2.28,2.5,3.2,1.8,-0.1666,-0.22,0.088,11.68,12.92,18.52,11.44,-0.0584,-1.24,0.096,2.5,2.2,2.2,2.3,2.1,2.3,2.1,2.3,2.3,2.1,2.2,2.4,2.3,2.4,2.6,2.3,2.1,2,1.9,1.8,1.9,2,3.2,3.2,,2.28,0.7,8.83,12.92,12.04,12.29,12.94,12.22,13,12.64,12.85,12.56,12.52,12.79,13.53,13.32,13.66,13.97,13.48,12.99,12.22,11.44,11.84,12.48,12.59,18.52,18.52,,13.22,5.6,-2.34
The Blacklist,The Blacklist2013,Renewed,1,2013,NBC,1,22,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,9/23/13,5/12/14,7,231,2.89,3.8,3.8,2.3,0,-0.91,0.2395,10.52,12.58,12.58,8.83,0,-2.06,0.1638,3.8,3.3,3.1,3,3,3.1,2.9,3,3,3.2,2.5,2.3,2.5,3.1,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.6,,,,2.89,-1.2,23.92,12.58,11.35,11.18,10.93,10.44,10.51,10.34,10.69,10.96,11.67,9.35,8.83,10.17,11.18,11.01,10.97,10.8,11.39,11.24,10.85,10.47,10.44,,,,10.79,-2.14,14.24
The Blacklist,The Blacklist2014,Renewed,1,2014,NBC,2,22,Mon/Thu,10:00 PM/9:00 PM,Mon,10:00 PM,Mon 10:00 PM,1,No,9/22/14,5/14/15,6,234,2.35,3.5,8.4,1.2,-0.1854,-1.15,0.3286,9.69,12.55,25.72,6.6,-0.1189,-2.86,0.2279,3.5,2.8,2.6,2.8,2.4,2.5,2.4,2.5,8.4,2.4,1.7,1.7,1.9,1.8,1.7,1.8,1.6,1.6,1.5,1.2,1.4,1.6,,,,2.35,-1.9,32.73,12.55,10.53,9.98,9.76,9.34,9.57,9.3,9.75,25.72,10.11,8.19,7.71,8.01,8.23,7.49,8.64,8.12,7.7,7.47,6.6,6.9,7.49,,,,9.51,-5.06,24.24
The Blacklist,The Blacklist2015,Renewed,1,2015,NBC,3,23,Thu,9:00 PM,Thu,9:00 PM,Thu 9:00 PM,0,No,10/1/15,5/19/16,10,231,1.43,1.8,1.8,1.2,-0.395,-0.37,0.2056,6.87,7.77,7.77,5.97,-0.282,-0.9,0.1158,1.8,1.5,1.4,1.4,1.5,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.3,1.2,1.4,1.3,1.2,1.2,1.3,1.3,,,1.43,-0.5,20.77,7.77,7.02,6.93,6.68,7.03,6.44,6.75,6.91,7.52,7.47,7.42,7.16,6.49,6.44,6.02,5.97,6.42,6.74,7.02,6.7,6.65,6.62,6.88,,,6.83,-0.89,12.12
The Blacklist,The Blacklist2016,Renewed,1,2016,NBC,4,22,Thu,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,0,No,9/22/16,5/18/17,34,238,0.99,1.3,1.3,0.8,-0.3015,-0.31,0.2385,5.63,6.4,6.41,4.76,-0.2261,-0.77,0.1203,1.3,1.1,1.2,1.1,1.1,1.2,1.1,1.2,1,1,1,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,,,,0.99,-0.4,23.78,6.4,5.99,6.41,5.85,5.32,5.52,5.45,5.87,5.21,5.34,5.01,5.05,4.91,4.76,4.98,4.88,4.9,4.86,4.82,4.87,4.94,4.92,,,,5.28,-1.48,17.43
The Blacklist,The Blacklist2017,Renewed,1,2017,NBC,5,22,Wed,8:00 PM,Wed,8:00 PM,Wed 8:00 PM,0,No,9/27/17,5/16/18,17,231,0.92,1.1,1.1,0.8,-0.0592,-0.18,0.1636,5.65,6.39,6.49,4.96,0.0703,-0.74,0.1158,1.1,1,1,0.9,0.8,0.9,0.9,0.9,1,1,1.1,1,1,0.9,1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,,,,0.92,-0.3,16.12,6.39,5.87,5.79,5.46,5.23,5.25,5.04,5.89,6.02,6.16,6.49,6.11,6.35,5.68,5.69,5.55,5.38,5.15,5.24,5.54,4.96,5.18,,,,5.66,-1.21,11.5
The Blacklist,The Blacklist2018,Renewed,1,2018,NBC,6,22,Fri,9:00 PM/8:00 PM,Fri,9:00 PM,Fri 9:00 PM,1,Yes,1/3/19,5/17/19,116,134,0.58,0.9,0.9,0.5,-0.3842,-0.32,0.3556,4.92,4.15,4.46,3.36,-0.2921,0.77,-0.1855,0.9,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.6,,,,0.58,-0.3,35.35,4.15,3.91,3.66,4.04,3.68,4.24,3.59,4.34,3.97,3.82,3.36,4.18,4.33,4,3.62,3.57,4.04,4.09,3.95,4.34,4.03,4.46,,,,3.97,0.31,4.3
The Blacklist: Redemption,The Blacklist: Redemption2016,Cancelled,0,2016,NBC,1,8,Thu,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,0,No,2/23/17,4/13/17,188,49,0.78,0.8,1,0.7,0,-0.02,0.025,3.33,4.26,4.76,3.69,0,-0.93,0.2183,0.8,1,0.7,0.8,0.7,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,0.77,-0.1,3.57,4.26,4.76,3.69,4.12,3.96,3.99,3.72,3.85,,,,,,,,,,,,,,,,,,4.06,-0.41,4.8
The Brave,The Brave2017,Cancelled,0,2017,NBC,1,13,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,9/25/17,1/29/18,15,126,0.91,1.3,1.3,0.5,0,-0.39,0.3,5.66,5.96,5.96,2.93,0,-0.3,0.0503,1.3,1.1,1.1,1,1,0.8,1,1,0.9,0.5,0.7,0.7,0.7,,,,,,,,,,,,,0.91,-0.6,30.18,5.96,5.17,5.14,4.97,5.19,4.55,5.18,5.03,4.66,2.93,3.95,3.4,3.9,,,,,,,,,,,,,4.62,-2.06,22.52
The Carmichael Show,The Carmichael Show2015,Renewed,1,2015,NBC,2,13,Sun,9:00 PM,Sun,9:00 PM,Sun 9:00 PM,0,Yes,3/9/16,5/29/16,170,81,0.92,1,1.4,0.4,-0.109,-0.08,0.08,3.67,4.09,6.49,2.25,-0.0399,-0.42,0.1027,1,1.4,1.1,1.3,1,1,1.1,0.7,0.9,0.7,0.8,0.5,0.4,,,,,,,,,,,,,0.96,-0.5,4.17,4.09,6.49,4.37,5.06,4.42,4.68,5.4,3.55,4.23,3.29,3.59,2.63,2.25,,,,,,,,,,,,,4.32,-1.46,-5.54
The Catch,The Catch2015,Renewed,1,2015,ABC,1,10,Thu,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,0,No,3/24/16,5/19/16,185,56,0.97,1.2,1.2,0.8,0,-0.23,0.1917,5.09,5.85,5.85,4.04,0,-0.76,0.1299,1.2,1,1.1,1,0.9,1,0.9,1,0.8,0.8,,,,,,,,,,,,,,,,0.97,-0.4,19.17,5.85,5.07,4.89,4.75,4.6,4.56,4.36,4.23,4.04,4.04,,,,,,,,,,,,,,,,4.64,-1.81,20.7
The Catch,The Catch2016,Cancelled,0,2016,ABC,2,10,Thu,10:00 PM,Thu,10:00 PM,Thu 10:00 PM,0,No,3/9/17,5/11/17,202,63,0.68,0.8,0.8,0.6,-0.3021,-0.12,0.15,3.72,3.67,3.81,2.96,-0.2924,0.05,-0.0136,0.8,0.7,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,0.68,-0.2,15,3.67,3.81,3.41,3.4,3.56,3.1,2.98,2.99,2.96,2.96,,,,,,,,,,,,,,,,3.28,-0.71,10.52
The Code,The Code2018,Cancelled,0,2018,CBS,1,12,Mon,9:00 PM,Mon,9:00 PM,Mon 9:00 PM,0,Yes,4/9/19,7/22/19,212,104,0.5,0.7,0.7,0.3,0,-0.2,0.2857,5.56,8.13,8.13,2.91,0,-2.57,0.3161,0.7,0.5,0.6,0.5,0.5,0.6,0.7,0.5,0.4,0.4,0.3,0.3,,,,,,,,,,,,,,0.5,-0.4,28.57,8.13,4.45,4.6,4.41,4.07,5.54,4.97,4.63,3.98,3.85,3.25,2.91,,,,,,,,,,,,,,4.57,-5.22,43.84
The Conners,The Conners2018,Renewed,1,2018,ABC,1,11,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,10/16/18,1/22/19,37,98,1.55,2.4,2.4,1.3,0,-0.85,0.3542,8.38,10.56,10.56,6.63,0,-2.18,0.2064,2.4,1.7,1.8,1.5,1.4,1.4,1.3,1.4,1.4,1.3,1.5,,,,,,,,,,,,,,,1.57,-0.9,34.58,10.56,8,7.83,6.94,6.86,7.32,6.63,6.68,6.85,6.65,7.74,,,,,,,,,,,,,,,7.46,-2.82,29.36
The Cool Kids,The Cool Kids2018,Cancelled,0,2018,FOX,1,21,Fri,8:30 PM,Fri,8:30 PM,Fri 8:30 PM,0,No,9/28/18,5/10/19,19,224,0.84,1.5,1.5,0.6,0,-0.66,0.44,5.48,6.87,6.87,3.15,0,-1.39,0.2023,1.5,1.1,1,0.9,0.9,1,0.9,0.9,0.8,0.8,1,0.9,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,,,,,0.84,-0.9,44.13,6.87,4.9,4.77,4.64,4.27,4.52,4.38,4.35,4.16,4.28,4.73,4.65,3.8,4.08,3.85,3.91,3.93,3.3,3.46,3.56,3.15,3.46,,,,4.23,-3.41,38.45
The Crazy Ones,The Crazy Ones2013,Cancelled,0,2013,CBS,1,22,Thu,9:00 PM/9:30 PM,Thu,9:00 PM,Thu 9:00 PM,1,No,9/26/13,4/17/14,10,203,2.08,3.9,3.9,1.3,0,-1.82,0.4667,9.17,15.52,15.52,5.23,0,-6.35,0.4091,3.9,2.9,2.4,2.4,2.3,1.9,2.1,2.1,2.2,2.1,1.9,2,2.4,1.9,1.7,1.9,1.7,1.7,1.7,1.7,1.6,1.3,,,,2.08,-2.6,46.62,15.52,11.71,9.69,9.37,8.69,8.06,8,8.59,8.6,7.58,7.87,8.2,9.52,8.25,7.48,7.41,6.96,6.71,6.53,6.87,6.19,5.23,,,,8.32,-10.29,46.39
The Crossing,The Crossing2017,Cancelled,0,2017,ABC,1,11,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,4/2/18,6/9/18,204,68,0.56,0.9,0.9,0.3,0,-0.34,0.3778,5.42,5.4,5.4,2.09,0,0.02,-0.0037,0.9,0.8,0.7,0.7,0.5,0.5,0.5,0.4,0.6,0.3,0.3,,,,,,,,,,,,,,,0.56,-0.6,37.37,5.4,4.48,4.09,4.08,3.62,3.67,3.53,2.53,2.92,2.09,2.1,,,,,,,,,,,,,,,3.5,-3.3,35.17
The Enemy Within,The Enemy Within2018,Cancelled,0,2018,NBC,1,13,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,2/25/19,5/20/19,169,84,0.74,1.2,1.2,0.6,0,-0.46,0.3833,5.99,5.76,5.76,3.67,0,0.23,-0.0399,1.2,0.9,0.9,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,0.74,-0.6,38.46,5.76,5.32,5.05,4.34,5.1,4.38,4.11,3.89,3.91,3.68,3.74,3.67,4.27,,,,,,,,,,,,,4.4,-1.49,23.58
The Exorcist,The Exorcist2016,Renewed,1,2016,FOX,1,10,Fri,9:00 PM,Fri,9:00 PM,Fri 9:00 PM,0,No,9/23/16,12/16/16,35,84,0.67,1,1,0.6,0,-0.33,0.33,4.03,2.85,2.85,1.61,0,1.18,-0.414,1,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,0.67,-0.4,33,2.85,1.98,1.95,1.97,1.87,1.83,1.61,1.67,1.66,1.75,,,,,,,,,,,,,,,,1.91,-1.1,32.84
The Exorcist,The Exorcist2017,Cancelled,0,2017,FOX,2,10,Fri,9:00 PM,Fri,9:00 PM,Fri 9:00 PM,0,No,9/29/17,12/15/17,19,77,0.41,0.5,0.5,0.3,-0.3901,-0.09,0.18,2.47,1.58,1.78,1.15,-0.3095,0.89,-0.5633,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,,,,,,,,,,,,,,,,0.41,-0.1,18,1.58,1.36,1.35,1.23,1.45,1.27,1.33,1.78,1.15,1.28,,,,,,,,,,,,,,,,1.38,-0.3,12.78
The Family,The Family2015,Cancelled,0,2015,ABC,1,12,Sun,9:00 PM,Sun,9:00 PM,Sun 9:00 PM,0,Yes,3/3/16,5/15/16,164,73,0.82,1.5,1.5,0.6,0,-0.68,0.4533,5.61,5.7,5.7,2.56,0,-0.09,0.0158,1.5,0.8,0.8,0.7,0.6,0.7,0.8,0.8,0.8,0.8,0.7,0.8,,,,,,,,,,,,,,0.82,-0.7,45.56,5.7,3.13,3.52,2.64,2.61,3.13,3.15,2.98,2.92,2.85,2.56,3.3,,,,,,,,,,,,,,3.21,-2.4,43.73
The Fix,The Fix2018,Cancelled,0,2018,ABC,1,10,Mon,10:00 PM,Mon,10:00 PM,Mon 10:00 PM,0,No,3/18/19,5/20/19,190,63,0.49,0.7,0.7,0.3,0,-0.21,0.3,4.71,4.4,4.4,2.18,0,0.31,-0.0705,0.7,0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.5,,,,,,,,,,,,,,,,0.49,-0.2,30,4.4,3.85,2.98,3.23,3.08,3.11,2.77,2.18,2.42,2.9,,,,,,,,,,,,,,,,3.09,-1.5,29.73
The Flash,The Flash2014,Renewed,1,2014,CW,1,23,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,10/7/14,5/19/15,21,224,1.44,1.9,1.9,1.2,0,-0.46,0.2421,4.38,4.83,4.83,3.33,0,-0.45,0.0932,1.9,1.7,1.5,1.4,1.4,1.4,1.4,1.6,1.5,1.4,1.3,1.3,1.5,1.5,1.3,1.2,1.3,1.4,1.3,1.5,1.4,1.5,1.5,,,1.44,-0.4,24.03,4.83,4.27,3.59,3.53,3.46,3.73,3.47,4.34,4.66,3.87,4.08,3.6,3.66,4.01,3.69,3.33,3.67,3.67,3.75,3.93,3.62,3.65,3.87,,,3.84,-0.96,20.53
The Flash,The Flash2015,Renewed,1,2015,CW,2,23,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,10/6/15,5/24/16,15,231,1.37,1.4,1.6,1.1,-0.049,-0.03,0.0214,3.27,3.58,3.96,3,-0.0801,-0.31,0.0866,1.4,1.4,1.4,1.4,1.5,1.5,1.4,1.4,1.3,1.3,1.4,1.4,1.6,1.5,1.4,1.1,1.3,1.2,1.3,1.3,1.3,1.3,1.3,,,1.37,-0.1,2.48,3.58,3.49,3.47,3.43,3.87,3.63,3.46,3.94,3.55,3.41,3.71,3.66,3.96,3.9,3.8,3,3.39,3.03,3.39,3.34,3.52,3.37,3.35,,,3.53,-0.23,1.32
The Flash,The Flash2016,Renewed,1,2016,CW,3,23,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,10/4/16,5/23/17,46,231,1.06,1.3,1.5,0.9,-0.2266,-0.24,0.1846,3.28,3.17,4.15,2.39,-0.1958,0.11,-0.0347,1.3,1.1,1,1,1,1.2,1.1,1.5,1.2,0.9,1.1,1.1,1,1.1,0.9,0.9,1,0.9,1,1,1,0.9,1.1,,,1.06,-0.2,18.73,3.17,2.8,2.67,2.8,2.77,3.01,2.95,4.15,3.14,2.68,3.06,2.91,2.78,2.87,2.52,2.39,2.71,2.39,2.67,2.69,2.71,2.48,3.04,,,2.84,-0.13,10.36
The Flash,The Flash2017,Renewed,1,2017,CW,4,23,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,10/10/17,5/22/18,30,224,0.79,1.1,1.1,0.6,-0.2488,-0.31,0.2818,3.09,2.84,2.84,1.7,-0.2203,0.25,-0.088,1.1,0.9,1,0.7,0.9,1,0.8,1,0.8,0.8,0.7,0.9,0.8,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.8,,,0.79,-0.3,28.06,2.84,2.54,2.62,1.99,2.38,2.46,2.2,2.82,2.22,2.51,2.12,2.6,2.28,2.12,2.04,2.08,1.82,1.88,1.9,1.7,1.74,1.93,2.16,,,2.22,-0.68,22
The Flash,The Flash2018,Renewed,1,2018,CW,5,22,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,10/9/18,5/14/19,30,217,0.62,0.8,0.8,0.5,-0.2387,-0.18,0.225,2.42,2.08,2.08,1.31,-0.2317,0.34,-0.1635,0.8,0.7,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,,,,0.62,-0.2,22.73,2.08,1.69,1.87,1.75,1.73,1.6,1.79,1.78,1.83,1.64,1.88,2.04,1.89,1.71,1.67,1.55,1.64,1.31,1.63,1.37,1.45,1.53,,,,1.71,-0.63,17.81
The Following,The Following2013,Renewed,1,2013,FOX,2,15,Mon,9:00 PM,Mon,9:00 PM,Mon 9:00 PM,0,Yes,1/19/14,4/28/14,125,99,1.75,4.4,4.4,1.4,-0.3305,-2.65,0.6023,7.6,11.18,11.18,3.95,-0.3484,-3.58,0.3202,4.4,2,1.9,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.5,,,,,,,,,,,1.75,-2.9,60.15,11.18,6.02,5.84,4.76,5.19,4.61,5.16,4.86,3.95,4.07,4.17,4.41,4.36,4.42,4.81,,,,,,,,,,,5.19,-6.37,53.6
The Following,The Following2014,Cancelled,0,2014,FOX,3,15,Mon,9:00 PM,Mon,9:00 PM,Mon 9:00 PM,0,No,3/2/15,5/18/15,167,77,1.12,1.6,1.6,0.9,-0.3659,-0.48,0.3,4.57,4.86,4.86,2.95,-0.3345,-0.29,0.0597,1.6,1.1,1.1,1.3,1.2,1.1,0.9,1.1,1.2,1.2,1.1,1,1,1,0.9,,,,,,,,,,,1.12,-0.7,30,4.86,3.51,3.53,3.93,3.75,3.28,2.95,3.46,3.41,3.46,3.22,3.21,3.07,3.13,3.05,,,,,,,,,,,3.45,-1.81,28.92
The Gifted,The Gifted2017,Renewed,1,2017,FOX,1,13,Mon,9:00 PM,Mon,9:00 PM,Mon 9:00 PM,0,No,10/2/17,1/15/18,22,105,1.01,1.5,1.5,0.7,0,-0.49,0.3267,4.77,4.9,4.9,2.54,0,-0.13,0.0265,1.5,1.2,1.1,1,1.1,1,1,0.9,0.8,0.8,0.7,1,1,,,,,,,,,,,,,1.01,-0.5,32.82,4.9,3.79,3.46,3.36,3.42,3.17,3,2.9,2.81,2.78,2.54,3.41,3.44,,,,,,,,,,,,,3.31,-1.46,32.53
The Gifted,The Gifted2018,Cancelled,0,2018,FOX,2,16,Tue,8:00 PM,Tue,8:00 PM,Tue 8:00 PM,0,No,9/25/18,2/26/19,16,154,0.61,0.9,0.9,0.4,-0.4116,-0.29,0.3222,3.37,2.58,2.58,1.59,-0.41,0.79,-0.3062,0.9,0.7,0.7,0.6,0.6,0.7,0.6,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.4,,,,,,,,,,0.61,-0.5,32.64,2.58,2.25,2.06,1.93,1.96,2.31,1.89,2.17,2.02,1.73,2.07,1.59,1.82,1.6,1.61,1.61,,,,,,,,,,1.95,-0.97,24.42
